"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 05- 17","67,600","66,600","67,900","66,600","15.58M","1.96%"
"2022- 05- 16","66,300","67,100","67,400","66,100","11.90M","-0.30%"
"2022- 05- 15","66,500","66,500","66,500","66,500","","0.00%"
"2022- 05- 13","66,500","65,300","66,700","65,200","14.49M","2.47%"
"2022- 05- 12","64,900","65,200","65,500","64,900","16.23M","-1.22%"
"2022- 05- 11","65,700","65,600","66,300","65,300","1.17K","0.00%"
"2022- 05- 10","65,700","65,900","66,300","65,300","17.17M","-0.61%"
"2022- 05- 09","66,100","66,300","66,900","66,100","11.77M","-0.60%"
"2022- 05- 08","66,500","66,500","66,500","66,500","","0.00%"
"2022- 05- 06","66,500","67,000","67,100","66,500","14.25M","-2.06%"
"2022- 05- 05","67,900","67,900","67,900","67,900","","0.00%"
"2022- 05- 04","67,900","68,000","68,400","67,500","11.44M","0.59%"
"2022- 05- 03","67,500","67,400","68,400","67,300","14.13M","0.30%"
"2022- 05- 02","67,300","66,600","67,600","66,500","0.67K","-0.15%"
"2022- 05- 01","67,400","67,400","67,400","67,400","","0.00%"
"2022- 04- 29","67,400","65,100","67,600","65,000","26.09M","4.01%"
"2022- 04- 28","64,800","65,500","65,500","64,500","0.69K","-0.31%"
"2022- 04- 27","65,000","65,400","65,500","64,900","0.66K","-1.66%"
"2022- 04- 26","66,100","66,500","66,700","66,100","2.99K","-0.30%"
"2022- 04- 25","66,300","66,600","66,700","66,300","0.05K","-1.04%"
"2022- 04- 24","67,000","67,000","67,000","67,000","","0.00%"
"2022- 04- 22","67,000","67,200","67,300","66,700","11.74M","-1.03%"
"2022- 04- 21","67,700","67,600","68,300","67,500","0.98K","0.45%"
"2022- 04- 20","67,400","67,000","67,400","66,500","16.65M","0.15%"
"2022- 04- 19","67,300","67,100","68,000","67,000","12.89M","0.90%"
"2022- 04- 18","66,700","66,500","67,100","66,100","10.06M","0.15%"
"2022- 04- 17","66,600","66,600","66,600","66,600","","0.00%"
"2022- 04- 15","66,600","67,200","67,300","66,500","12.99M","-1.33%"
"2022- 04- 14","67,500","68,700","68,700","67,500","2.32K","-1.75%"
"2022- 04- 13","68,700","67,300","69,000","67,200","17.33M","2.54%"
"2022- 04- 12","67,000","67,600","67,700","67,000","2.41K","-1.33%"
"2022- 04- 11","67,900","67,800","68,100","67,400","12.19M","0.15%"
"2022- 04- 10","67,800","67,800","67,800","67,800","","0.00%"
"2022- 04- 08","67,800","68,100","68,300","67,700","15.36M","-0.29%"
"2022- 04- 07","68,000","68,500","68,500","68,000","2.12K","-0.73%"
"2022- 04- 06","68,500","68,600","68,800","68,500","15.30M","-1.01%"
"2022- 04- 05","69,200","69,400","69,600","69,100","1.96K","-0.14%"
"2022- 04- 04","69,300","68,900","69,300","68,600","10.80M","0.29%"
"2022- 04- 03","69,100","69,100","69,100","69,100","","0.00%"
"2022- 04- 01","69,100","69,500","69,500","69,000","15.85M","-0.72%"
"2022- 03- 31","69,600","69,900","70,100","69,600","5.43K","-0.43%"
"2022- 03- 30","69,900","70,300","70,500","69,800","12.35M","-0.43%"
"2022- 03- 29","70,200","69,900","70,300","69,800","5.95K","0.72%"
"2022- 03- 28","69,700","69,600","69,900","69,200","0.89K","-0.14%"
"2022- 03- 27","69,800","69,800","69,800","69,800","","0.00%"
"2022- 03- 25","69,800","70,100","70,200","69,600","12.91M","0.00%"
"2022- 03- 24","69,800","69,600","70,300","69,600","17.92M","-0.99%"
"2022- 03- 23","70,500","70,600","71,200","70,300","1.03K","0.28%"
"2022- 03- 22","70,300","70,000","70,500","70,000","0.79K","0.57%"
"2022- 03- 21","69,900","70,900","71,000","69,900","11.09M","-1.13%"
"2022- 03- 20","70,700","70,700","70,700","70,700","","0.00%"
"2022- 03- 18","70,700","70,600","70,900","70,200","14.24M","-0.70%"
"2022- 03- 17","71,200","71,300","71,800","70,900","1.43K","1.14%"
"2022- 03- 16","70,400","70,200","70,500","69,700","0.13K","1.29%"
"2022- 03- 15","69,500","69,800","70,100","69,500","0.20K","-1.00%"
"2022- 03- 14","70,200","70,000","70,200","69,600","0.78K","0.29%"
"2022- 03- 13","70,000","70,000","70,000","70,000","","0.00%"
"2022- 03- 11","70,000","70,500","70,700","69,700","15.67M","-1.69%"
"2022- 03- 10","71,200","70,900","71,200","70,500","2.01K","2.45%"
"2022- 03- 09","69,500","69,500","69,500","69,500","","0.00%"
"2022- 03- 08","69,500","68,800","70,000","68,700","15.72M","-0.86%"
"2022- 03- 07","70,100","70,000","70,600","69,900","1.39K","-1.96%"
"2022- 03- 06","71,500","71,500","71,500","71,500","","0.00%"
"2022- 03- 04","71,500","72,700","72,700","71,200","13.36M","-1.92%"
"2022- 03- 03","72,900","72,300","73,100","72,200","13.03M","1.67%"
"2022- 03- 02","71,700","72,400","72,400","71,500","0.51K","-0.55%"
"2022- 03- 01","72,100","72,100","72,100","72,100","","0.00%"
"2022- 02- 28","72,100","71,100","72,100","71,000","17.64M","0.28%"
"2022- 02- 27","71,900","71,900","71,900","71,900","","0.00%"
"2022- 02- 25","71,900","72,100","72,600","71,900","13.06M","0.56%"
"2022- 02- 24","71,500","72,300","72,300","71,300","10.45K","-2.05%"
"2022- 02- 23","73,000","73,800","73,800","72,800","2.11K","-0.54%"
"2022- 02- 22","73,400","73,000","73,400","72,800","20.21K","-1.08%"
"2022- 02- 21","74,200","73,300","74,300","72,600","0.10K","-0.13%"
"2022- 02- 20","74,300","74,300","74,300","74,300","","0.00%"
"2022- 02- 18","74,300","74,600","74,800","73,700","10.04M","-0.93%"
"2022- 02- 17","75,000","74,900","75,600","74,500","0.38K","0.27%"
"2022- 02- 16","74,800","74,600","74,800","74,200","4.64K","1.49%"
"2022- 02- 15","73,700","74,100","74,200","73,100","0.04K","0.00%"
"2022- 02- 14","73,700","74,400","74,400","73,100","4.16K","-1.60%"
"2022- 02- 13","74,900","74,900","74,900","74,900","","0.00%"
"2022- 02- 11","74,900","75,000","75,500","74,600","12.00M","-0.66%"
"2022- 02- 10","75,400","75,500","75,800","74,700","4.77K","0.94%"
"2022- 02- 09","74,700","74,300","74,700","74,000","9.60M","1.63%"
"2022- 02- 08","73,500","73,800","74,200","73,000","11.71M","0.68%"
"2022- 02- 07","73,000","73,500","73,500","72,400","0.79K","-1.35%"
"2022- 02- 06","74,000","74,000","74,000","74,000","","0.00%"
"2022- 02- 04","74,000","74,300","74,600","73,400","12.38M","0.95%"
"2022- 02- 03","73,300","74,100","74,100","73,300","25.35K","0.00%"
"2022- 01- 28","73,300","71,300","73,700","71,200","21.05M","2.81%"
"2022- 01- 27","71,300","73,800","74,000","71,300","11.89K","-2.73%"
"2022- 01- 26","73,300","73,900","74,400","73,200","3.67K","-0.95%"
"2022- 01- 25","74,000","74,800","75,000","73,200","17.53M","-1.46%"
"2022- 01- 24","75,100","75,400","75,800","74,700","13.66M","-0.66%"
"2022- 01- 23","75,600","75,600","75,600","75,600","","0.00%"
"2022- 01- 21","75,600","75,800","75,800","74,700","15.74M","-1.18%"
"2022- 01- 20","76,500","76,200","76,600","76,000","12.67K","0.26%"
"2022- 01- 19","76,300","76,500","76,900","76,100","4.48K","-0.91%"
"2022- 01- 18","77,000","77,500","77,800","76,600","0.17K","-0.65%"
"2022- 01- 17","77,500","77,600","77,800","76,900","8.75M","0.26%"
"2022- 01- 16","77,300","77,300","77,300","77,300","","0.00%"
"2022- 01- 14","77,300","77,700","78,100","77,100","9.92M","-0.77%"
"2022- 01- 13","77,900","79,300","79,300","77,900","7.69K","-1.27%"
"2022- 01- 12","78,900","79,500","79,600","78,600","10.92M","0.00%"
"2022- 01- 11","78,900","78,300","79,000","78,000","0.70K","1.15%"
"2022- 01- 10","78,000","78,100","78,100","77,100","9.63M","-0.38%"
"2022- 01- 09","78,300","78,300","78,300","78,300","","0.00%"
"2022- 01- 07","78,300","78,100","78,400","77,400","15.10M","1.82%"
"2022- 01- 06","76,900","76,700","77,600","76,700","8.25K","-0.65%"
"2022- 01- 05","77,400","78,800","79,000","76,400","1.59K","-1.65%"
"2022- 01- 04","78,700","78,800","79,200","78,300","3.28K","0.13%"
"2022- 01- 03","78,600","79,400","79,800","78,200","13.35M","0.38%"
"2021- 12- 30","78,300","78,900","79,500","78,100","13.92M","-0.63%"
"2021- 12- 29","78,800","80,100","80,100","78,500","21.44K","-1.87%"
"2021- 12- 28","80,300","80,200","80,400","79,700","16.31K","0.12%"
"2021- 12- 27","80,200","80,600","80,600","79,900","0.58K","-0.37%"
"2021- 12- 26","80,500","80,500","80,500","80,500","","0.00%"
"2021- 12- 24","80,500","80,200","80,800","80,200","12.02M","0.75%"
"2021- 12- 23","79,900","79,800","80,000","79,300","0.26K","0.63%"
"2021- 12- 22","79,400","78,800","79,400","78,800","1.69K","1.66%"
"2021- 12- 21","78,100","77,900","78,300","77,500","0.07K","1.30%"
"2021- 12- 20","77,100","77,500","77,700","76,800","10.91K","-1.15%"
"2021- 12- 19","78,000","78,000","78,000","78,000","","0.00%"
"2021- 12- 17","78,000","76,800","78,000","76,800","11.80M","0.26%"
"2021- 12- 16","77,800","78,300","78,400","77,400","1.76K","0.26%"
"2021- 12- 15","77,600","76,400","77,600","76,400","0.22K","0.78%"
"2021- 12- 14","77,000","76,500","77,200","76,200","0.31K","0.26%"
"2021- 12- 13","76,800","77,100","78,300","76,500","1.73K","-0.13%"
"2021- 12- 12","76,900","76,900","76,900","76,900","","0.00%"
"2021- 12- 10","76,900","77,400","77,600","76,800","9.09M","-1.66%"
"2021- 12- 09","78,200","77,300","78,200","77,000","0.62K","1.03%"
"2021- 12- 08","77,400","78,100","78,600","77,100","4.96K","0.00%"
"2021- 12- 07","77,400","76,100","77,600","75,600","0.19K","1.44%"
"2021- 12- 06","76,300","75,100","76,700","75,000","0.38K","0.93%"
"2021- 12- 05","75,600","75,600","75,600","75,600","","0.00%"
"2021- 12- 03","75,600","75,600","76,000","74,100","17.62M","-0.26%"
"2021- 12- 02","75,800","73,900","75,800","73,800","27.76K","1.88%"
"2021- 12- 01","74,400","72,000","74,700","71,600","1.37K","4.35%"
"2021- 11- 30","71,300","73,200","73,900","70,500","17.28K","-1.38%"
"2021- 11- 29","72,300","71,700","73,000","71,600","0.40K","0.00%"
"2021- 11- 28","72,300","72,300","72,300","72,300","","0.00%"
"2021- 11- 26","72,300","73,500","74,100","72,000","12.66M","-1.90%"
"2021- 11- 25","73,700","75,100","75,100","73,600","2.22K","-1.47%"
"2021- 11- 24","74,800","75,800","76,200","74,100","0.49K","-0.66%"
"2021- 11- 23","75,300","75,700","75,900","74,500","2.61K","0.53%"
"2021- 11- 22","74,900","73,100","75,100","73,000","51.35K","5.20%"
"2021- 11- 21","71,200","71,200","71,200","71,200","","0.00%"
"2021- 11- 19","71,200","70,400","71,400","70,100","11.91M","1.42%"
"2021- 11- 18","70,200","70,700","71,000","70,200","1.35K","-0.71%"
"2021- 11- 17","70,700","71,300","71,600","70,600","10.89M","-0.84%"
"2021- 11- 16","71,300","71,500","72,000","71,300","0.31K","-0.14%"
"2021- 11- 15","71,400","71,700","71,900","70,900","4.87K","1.13%"
"2021- 11- 14","70,600","70,600","70,600","70,600","","0.00%"
"2021- 11- 12","70,600","70,200","70,900","69,900","10.04M","1.00%"
"2021- 11- 11","69,900","69,900","70,000","69,600","11.44M","-0.43%"
"2021- 11- 10","70,200","70,300","70,900","70,200","0.98K","-0.43%"
"2021- 11- 09","70,500","70,400","70,900","70,100","4.89K","-0.14%"
"2021- 11- 08","70,600","70,300","70,600","69,800","0.59K","0.57%"
"2021- 11- 07","70,200","70,200","70,200","70,200","","0.00%"
"2021- 11- 05","70,200","71,600","71,600","70,200","12.61M","-0.57%"
"2021- 11- 04","70,600","71,100","71,600","70,500","1.57K","0.28%"
"2021- 11- 03","70,400","71,700","71,700","70,100","0.21K","-1.54%"
"2021- 11- 02","71,500","70,700","72,200","70,700","4.70K","2.29%"
"2021- 11- 01","69,900","70,200","70,600","69,900","0.07K","0.14%"
"2021- 10- 31","69,800","69,800","69,800","69,800","","0.00%"
"2021- 10- 29","69,800","71,200","71,600","69,700","16.50M","-1.27%"
"2021- 10- 28","70,700","69,600","72,100","69,500","2.15K","0.86%"
"2021- 10- 27","70,100","71,000","71,000","70,000","3.67K","-1.41%"
"2021- 10- 26","71,100","70,500","71,500","70,400","8.81K","1.28%"
"2021- 10- 25","70,200","70,000","70,600","69,500","0.15K","-0.28%"
"2021- 10- 24","70,400","70,400","70,400","70,400","","0.00%"
"2021- 10- 22","70,400","70,000","70,700","70,000","8.38M","0.28%"
"2021- 10- 21","70,200","70,300","70,600","70,000","2.87K","-0.14%"
"2021- 10- 20","70,300","70,800","71,000","70,200","1.54K","-0.42%"
"2021- 10- 19","70,600","70,800","71,000","70,400","0.03K","0.57%"
"2021- 10- 18","70,200","70,100","70,300","69,200","1.20K","0.14%"
"2021- 10- 17","70,100","70,100","70,100","70,100","","0.00%"
"2021- 10- 15","70,100","70,200","71,000","70,000","17.53M","1.01%"
"2021- 10- 14","69,400","69,100","69,800","68,800","0.23K","0.87%"
"2021- 10- 13","68,800","68,700","69,600","68,400","0.57K","-0.29%"
"2021- 10- 12","69,000","70,800","70,900","68,700","18.42K","-3.50%"
"2021- 10- 11","71,500","71,500","71,500","71,500","","0.00%"
"2021- 10- 08","71,500","72,300","72,400","71,500","13.97M","-0.14%"
"2021- 10- 07","71,600","71,800","72,100","71,300","0.17K","0.42%"
"2021- 10- 06","71,300","72,700","72,800","71,200","8.34K","-1.25%"
"2021- 10- 05","72,200","72,900","73,000","71,400","1.12K","-1.37%"
"2021- 10- 04","73,200","73,200","73,200","73,200","","0.00%"
"2021- 10- 01","73,200","73,900","74,000","72,900","15.70M","-1.21%"
"2021- 09- 30","74,100","74,300","74,800","73,800","6.44K","0.00%"
"2021- 09- 29","74,100","74,800","75,300","73,800","15.27K","-2.88%"
"2021- 09- 28","76,300","77,600","77,600","76,200","0.94K","-1.80%"
"2021- 09- 27","77,700","77,300","77,700","77,000","11.63M","0.52%"
"2021- 09- 26","77,300","77,300","77,300","77,300","","0.00%"
"2021- 09- 24","77,300","77,600","77,700","77,100","11.85M","-0.13%"
"2021- 09- 23","77,400","77,500","77,600","76,900","0.49K","0.26%"
"2021- 09- 22","77,200","77,200","77,200","77,200","","0.00%"
"2021- 09- 17","77,200","76,300","77,200","75,900","15.66M","1.45%"
"2021- 09- 16","76,100","77,300","77,400","76,100","12.88M","-1.17%"
"2021- 09- 15","77,000","77,200","77,300","76,500","0.04K","0.52%"
"2021- 09- 14","76,600","77,000","77,700","76,600","3.83K","0.39%"
"2021- 09- 13","76,300","75,100","76,300","75,100","1.17K","1.33%"
"2021- 09- 12","75,300","75,300","75,300","75,300","","0.00%"
"2021- 09- 10","75,300","75,300","75,600","74,800","10.04M","0.00%"
"2021- 09- 09","75,300","76,300","76,600","75,000","1.06K","-1.31%"
"2021- 09- 08","76,300","76,100","76,400","75,600","1.09K","0.26%"
"2021- 09- 07","76,100","77,100","77,100","75,900","2.76K","-1.55%"
"2021- 09- 06","77,300","76,800","77,600","76,600","3.42K","0.91%"
"2021- 09- 05","76,600","76,600","76,600","76,600","","0.00%"
"2021- 09- 03","76,600","76,400","76,700","76,000","11.89M","0.79%"
"2021- 09- 02","76,000","76,800","76,800","75,700","1.76K","-1.04%"
"2021- 09- 01","76,800","76,600","77,100","75,900","0.84K","0.13%"
"2021- 08- 31","76,700","74,800","76,700","74,300","16.70K","2.82%"
"2021- 08- 30","74,600","75,400","75,400","74,200","4.29K","0.40%"
"2021- 08- 29","74,300","74,300","74,300","74,300","","0.00%"
"2021- 08- 27","74,300","74,300","75,000","73,800","15.06M","-0.40%"
"2021- 08- 26","74,600","76,100","76,200","74,600","4.67K","-1.45%"
"2021- 08- 25","75,700","76,200","76,500","74,900","2.00K","0.13%"
"2021- 08- 24","75,600","73,900","75,700","73,900","0.37K","3.14%"
"2021- 08- 23","73,300","73,300","74,000","73,000","19.30M","0.83%"
"2021- 08- 22","72,700","72,700","72,700","72,700","","0.00%"
"2021- 08- 20","72,700","73,500","73,900","72,500","22.12M","-0.55%"
"2021- 08- 19","73,100","73,500","74,400","73,100","18.14K","-1.08%"
"2021- 08- 18","73,900","73,900","74,600","73,100","28.93M","-0.40%"
"2021- 08- 17","74,200","74,300","75,100","74,000","7.44K","-0.27%"
"2021- 08- 16","74,400","74,400","74,400","74,400","","0.00%"
"2021- 08- 13","74,400","75,800","76,000","74,100","60.80M","-3.38%"
"2021- 08- 12","77,000","77,300","78,200","76,900","57.26K","-1.91%"
"2021- 08- 11","78,500","79,600","79,800","78,500","29.83M","-2.12%"
"2021- 08- 10","80,200","82,300","82,300","80,100","13.75K","-1.60%"
"2021- 08- 09","81,500","81,500","82,300","80,900","15.37M","0.00%"
"2021- 08- 08","81,500","81,500","81,500","81,500","","0.00%"
"2021- 08- 06","81,500","81,900","82,500","81,300","13.28M","-0.73%"
"2021- 08- 05","82,100","83,200","83,300","82,000","2.46K","-0.97%"
"2021- 08- 04","82,900","82,100","83,100","81,800","25.81K","1.84%"
"2021- 08- 03","81,400","79,400","81,400","79,300","1.46K","2.65%"
"2021- 08- 02","79,300","79,100","79,500","78,700","1.55K","1.02%"
"2021- 08- 01","78,500","78,500","78,500","78,500","","0.00%"
"2021- 07- 30","78,500","78,900","78,900","78,500","13.12M","-0.63%"
"2021- 07- 29","79,000","78,900","79,300","78,800","3.62K","-0.25%"
"2021- 07- 28","79,200","78,200","79,200","78,100","9.00K","0.89%"
"2021- 07- 27","78,500","79,100","79,300","78,500","4.44K","-0.38%"
"2021- 07- 26","78,800","79,400","79,500","78,800","1.25K","-0.63%"
"2021- 07- 25","79,300","79,300","79,300","79,300","","0.00%"
"2021- 07- 23","79,300","79,700","79,900","79,200","8.98M","-0.50%"
"2021- 07- 22","79,700","79,000","79,800","78,900","11.63K","1.53%"
"2021- 07- 21","78,500","79,000","79,100","78,500","0.17K","-0.63%"
"2021- 07- 20","79,000","78,600","79,000","78,400","0.55K","0.00%"
"2021- 07- 19","79,000","79,200","79,200","78,800","2.48K","-1.00%"
"2021- 07- 18","79,800","79,800","79,800","79,800","","0.00%"
"2021- 07- 16","79,800","80,100","80,100","79,500","10.78M","-0.99%"
"2021- 07- 15","80,600","79,800","80,600","79,500","0.70K","1.38%"
"2021- 07- 14","79,500","79,400","79,600","79,100","11.41M","-0.38%"
"2021- 07- 13","79,800","79,900","80,200","79,800","8.22K","0.13%"
"2021- 07- 12","79,700","79,900","80,000","79,500","0.77K","0.38%"
"2021- 07- 11","79,400","79,400","79,400","79,400","","0.00%"
"2021- 07- 09","79,400","79,600","79,800","79,000","22.41M","-0.63%"
"2021- 07- 08","79,900","81,100","81,100","79,900","6.82K","-1.11%"
"2021- 07- 07","80,800","81,300","81,300","80,300","9.41K","-0.49%"
"2021- 07- 06","81,200","80,500","81,200","80,500","22.57K","1.00%"
"2021- 07- 05","80,400","80,200","80,800","80,000","0.76K","0.50%"
"2021- 07- 04","80,000","80,000","80,000","80,000","","0.00%"
"2021- 07- 02","80,000","80,000","80,400","79,900","8.18M","-0.12%"
"2021- 07- 01","80,100","80,600","80,600","80,000","13.59K","-0.74%"
"2021- 06- 30","80,700","81,200","81,400","80,700","0.97K","-0.37%"
"2021- 06- 29","81,000","81,900","82,100","80,800","1.58K","-1.10%"
"2021- 06- 28","81,900","81,700","82,000","81,600","56.64K","0.37%"
"2021- 06- 27","81,600","81,600","81,600","81,600","","0.00%"
